SID:010,5,OMB19D,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2710,    ,+,02270,     ,09490, ,   ,    ,   ,YNJ,ZY,D, , , , , ;
SID:020,5,OMB19D,RW27,YJ408,ZY,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,OMB19D,RW27,YJ409,ZY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,OMB19D,RW27,OMBAD,ZY,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,WQG01D,RW09, , , , ,    , ,   ,CD, ,YNJ,ZY,D, ,      ,    ,    ,0910,0045, ,     ,     ,09490, ,   ,    ,   ,YNJ,ZY,D, , , , , ;
SID:020,2,WQG01D,RW09, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,3560,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,2,WQG01D,RW09,D041Q,ZY,P,C,E   , ,   ,CF, ,YNJ,ZY,D, ,      ,0397,0170,0410,0080,+,06530,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,WQG01D,RW09,WQG,ZY,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,WQG02D,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0910,    ,+,02430,     ,09490,-,205,    ,   ,JA,ZY,P,N, , , , ;
SID:020,2,WQG02D,RW09,JA,ZY,P,N,EY  ,L,   ,CF,Y,YNJ,ZY,D, ,      ,2698,0050,2450,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,WQG02D,RW09,JA,ZY,P,N,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,WQG02D,RW09,W,ZY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,WQG02D,RW09,WQG,ZY,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,WQG09D,RW09,YJ407,ZY,P,C,EY  , ,   ,CF, ,YNJ,ZY,D, ,      ,0910,0045,0910,0040, ,     ,     ,09490, ,   ,    ,   ,YNJ,ZY,D, , , , , ;
SID:020,5,WQG09D,RW09,YJ401,ZY,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,WQG09D,RW09,WQG,ZY,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,WQG11D,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2710,    ,+,02270,     ,09490, ,   ,    ,   ,YNJ,ZY,D, , , , , ;
SID:020,2,WQG11D,RW27, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,0910,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,WQG11D,RW27,D041Q,ZY,P,C,E   , ,   ,CF, ,WQG,ZY,D, ,      ,2209,0116,0410,0130,+,06530,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,WQG11D,RW27,WQG,ZY,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:015,2,WQG12D,RW27,JA,ZY,P,N,EY  , ,   ,CF, ,YNJ,ZY,D, ,      ,2698,0050,2710,0040,+,02270,     ,09490,-,205,    ,   ,JA,ZY,P,N, , , , ;
SID:020,2,WQG12D,RW27,JA,ZY,P,N,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,WQG12D,RW27,W,ZY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,WQG12D,RW27,WQG,ZY,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,WQG19D,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2710,    ,+,02270,     ,09490, ,   ,    ,   ,YNJ,ZY,D, , , , , ;
SID:020,5,WQG19D,RW27,YJ401,ZY,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,WQG19D,RW27,WQG,ZY,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,CBS08D,RW09,YJ407,ZY,P,C,EY  , ,010,CF, ,YNJ,ZY,D, ,      ,0910,0045,0910,0040, ,     ,     ,09490, ,   ,    ,   ,YNJ,ZY,D, , , , , ;
SID:020,5,CBS08D,RW09,YJ405,ZY,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,CBS08D,RW09,P08,ZY,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,CBS08D,RW09,YJ404,ZY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,CBS08D,RW09,YJ403,ZY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,CBS08D,RW09,CBS,ZY,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,CBS09D,RW09,YJ407,ZY,P,C,EY  , ,010,CF, ,YNJ,ZY,D, ,      ,0910,0045,0910,0040, ,     ,     ,09490, ,   ,    ,   ,YNJ,ZY,D, , , , , ;
SID:020,5,CBS09D,RW09,YJ405,ZY,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,CBS09D,RW09,YJ404,ZY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,CBS09D,RW09,YJ403,ZY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,CBS09D,RW09,CBS,ZY,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,CBS19D,RW27, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2710,    ,+,02270,     ,09490, ,   ,    ,   ,YNJ,ZY,D, , , , , ;
SID:020,5,CBS19D,RW27,YJ404,ZY,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,,+,07500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,CBS19D,RW27,YJ403,ZY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,CBS19D,RW27,CBS,ZY,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,CBS18D,RW27,YJ651,ZY,P,C,EY  , ,010,CF, ,YNJ,ZY,D, ,      ,2710,0045,2710,0040, ,     ,     ,09490, ,   ,    ,   ,YNJ,ZY,D, , , , , ;
SID:020,5,CBS18D,RW27,YNJ,ZY,D, ,V   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,,+,06500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,CBS18D,RW27,P08,ZY,E,A,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,,+,06500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,CBS18D,RW27,YJ404,ZY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,CBS18D,RW27,YJ403,ZY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,CBS18D,RW27,CBS,ZY,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,CBS17D,RW27, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2710,    ,+,02270,     ,09490, ,   ,    ,   ,YNJ,ZY,D, , , , , ;
SID:020,5,CBS17D,RW27,P08,ZY,E,A,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,,+,06500,     ,     , ,   ,    ,   , , , , , , , , ;
